"","regiao","estado","municipio","coduf","codmun","codRegiaoSaude","nomeRegiaoSaude","data","semanaEpi","populacaoTCU2019","casosAcumulado","casosNovos","obitosAcumulado","obitosNovos","Recuperadosnovos","emAcompanhamentoNovos","interior/metropolitana"
"2641","Sudeste","MG","Ipanema",31,NA,NA,NA,2021-05-11,19,19861,1913,42,42,0,NA,NA,FALSE
"2642","Sudeste","MG","Ipatinga",31,NA,NA,NA,2021-05-11,19,263410,28479,32,702,0,NA,NA,FALSE
"2643","Sudeste","MG","Ipiaçu",31,NA,NA,NA,2021-05-11,19,4221,348,0,5,0,NA,NA,FALSE
"2644","Sudeste","MG","Ipuiúna",31,NA,NA,NA,2021-05-11,19,10079,1008,2,33,0,NA,NA,FALSE
"2645","Sudeste","MG","Iraí de Minas",31,NA,NA,NA,2021-05-11,19,6987,553,1,11,0,NA,NA,FALSE
"2646","Sudeste","MG","Itabira",31,NA,NA,NA,2021-05-11,19,120060,16816,27,327,1,NA,NA,FALSE
"2647","Sudeste","MG","Itabirinha",31,NA,NA,NA,2021-05-11,19,11512,922,0,27,0,NA,NA,FALSE
"2648","Sudeste","MG","Itabirito",31,NA,NA,NA,2021-05-11,19,51875,10782,0,94,0,NA,NA,FALSE
"2649","Sudeste","MG","Itacambira",31,NA,NA,NA,2021-05-11,19,5385,114,0,2,0,NA,NA,FALSE
"2650","Sudeste","MG","Itacarambi",31,NA,NA,NA,2021-05-11,19,18153,428,1,9,0,NA,NA,FALSE
"2651","Sudeste","MG","Itaguara",31,NA,NA,NA,2021-05-11,19,13358,1422,7,26,0,NA,NA,TRUE
"2652","Sudeste","MG","Itaipé",31,NA,NA,NA,2021-05-11,19,12760,315,0,4,0,NA,NA,FALSE
"2653","Sudeste","MG","Itajubá",31,NA,NA,NA,2021-05-11,19,96869,7323,38,338,0,NA,NA,FALSE
"2654","Sudeste","MG","Itamarandiba",31,NA,NA,NA,2021-05-11,19,34735,1016,0,13,0,NA,NA,FALSE
"2655","Sudeste","MG","Itamarati de Minas",31,NA,NA,NA,2021-05-11,19,4355,314,0,2,0,NA,NA,FALSE
"2656","Sudeste","MG","Itambacuri",31,NA,NA,NA,2021-05-11,19,23211,685,0,18,0,NA,NA,FALSE
"2657","Sudeste","MG","Itambé do Mato Dentro",31,NA,NA,NA,2021-05-11,19,2081,96,0,4,0,NA,NA,FALSE
